year,income_bracket,education,count
2016,"$150-$299 ($7,800-$15,599)",Not stated,28232
2016,"$300-$399 ($15,600-$20,799)",Not stated,43354
2016,"$400-$499 ($20,800-$25,999)",Not stated,34724
2016,"$500-$649 ($26,000-$33,799)",Not stated,23619
2016,"$650-$799 ($33,800-$41,599)",Not stated,24549
2016,"$800-$999 ($41,600-$51,999)",Not stated,23919
2016,"$1,000-$1,249 ($52,000-$64,999)",Not stated,22108
2016,"$1,250-$1,499 ($65,000-$77,999)",Not stated,12060
2016,"$1,500-$1,749 ($78,000-$90,999)",Not stated,9162
2016,"$1,750-$1,999 ($91,000-$103,999)",Not stated,6239
2016,"$2,000-$2,999 ($104,000-$155,999)",Not stated,8382
2016,"$3,000 Or More ($156,000 Or More)",Not stated,7341
2016,Not Stated,Not stated,683103
2016,Negative Income,Not applicable,0
2016,Nil Income,Not applicable,0
2016,"$1-$149 ($1-$7,799)",Not applicable,0
2016,"$150-$299 ($7,800-$15,599)",Not applicable,0
2016,"$300-$399 ($15,600-$20,799)",Not applicable,0
2016,"$400-$499 ($20,800-$25,999)",Not applicable,0
2016,"$500-$649 ($26,000-$33,799)",Not applicable,0
2016,"$650-$799 ($33,800-$41,599)",Not applicable,0
2016,"$800-$999 ($41,600-$51,999)",Not applicable,0
2016,"$1,000-$1,249 ($52,000-$64,999)",Not applicable,0
2016,"$1,250-$1,499 ($65,000-$77,999)",Not applicable,0
2016,"$1,500-$1,749 ($78,000-$90,999)",Not applicable,0
2016,"$1,750-$1,999 ($91,000-$103,999)",Not applicable,0
2016,"$2,000-$2,999 ($104,000-$155,999)",Not applicable,0
2016,"$3,000 Or More ($156,000 Or More)",Not applicable,0
2016,Not Stated,Not applicable,0
2016,Negative Income,Total,48307
2016,Nil Income,Total,691508
2016,"$1-$149 ($1-$7,799)",Total,308775
2016,"$150-$299 ($7,800-$15,599)",Total,560165
2016,"$300-$399 ($15,600-$20,799)",Total,686216
2016,"$400-$499 ($20,800-$25,999)",Total,598523
2016,"$500-$649 ($26,000-$33,799)",Total,555893
2016,"$650-$799 ($33,800-$41,599)",Total,633309
2016,"$800-$999 ($41,600-$51,999)",Total,797881
2016,"$1,000-$1,249 ($52,000-$64,999)",Total,876605
2016,"$1,250-$1,499 ($65,000-$77,999)",Total,621260
2016,"$1,500-$1,749 ($78,000-$90,999)",Total,546477
2016,"$1,750-$1,999 ($91,000-$103,999)",Total,402420
2016,"$2,000-$2,999 ($104,000-$155,999)",Total,670312
2016,"$3,000 Or More ($156,000 Or More)",Total,448427
2016,Not Stated,Total,859719
2021,Negative Income,Postgraduate Degree Level,1437
2021,Nil Income,Postgraduate Degree Level,17999
2021,"$1-$149 ($1-$7,799)",Postgraduate Degree Level,5617
2021,"$150-$299 ($7,800-$15,599)",Postgraduate Degree Level,8851
2021,"$300-$399 ($15,600-$20,799)",Postgraduate Degree Level,14125
2021,"$400-$499 ($20,800-$25,999)",Postgraduate Degree Level,15217
2021,"$500-$649 ($26,000-$33,799)",Postgraduate Degree Level,24695
2021,"$650-$799 ($33,800-$41,599)",Postgraduate Degree Level,26605
2021,"$800-$999 ($41,600-$51,999)",Postgraduate Degree Level,39359
2021,"$1,000-$1,249 ($52,000-$64,999)",Postgraduate Degree Level,55522
2021,"$1,250-$1,499 ($65,000-$77,999)",Postgraduate Degree Level,51436
2021,"$1,500-$1,749 ($78,000-$90,999)",Postgraduate Degree Level,54780
2021,"$1,750-$1,999 ($91,000-$103,999)",Postgraduate Degree Level,51248
