income_bracket,education,count
Nil Income,Supplementary Codes,21482
"$1-$149 ($1-$7,799)",Supplementary Codes,6170
"$150-$299 ($7,800-$15,599)",Supplementary Codes,14722
"$300-$399 ($15,600-$20,799)",Supplementary Codes,29472
"$400-$499 ($20,800-$25,999)",Supplementary Codes,24326
"$500-$649 ($26,000-$33,799)",Supplementary Codes,20932
"$650-$799 ($33,800-$41,599)",Supplementary Codes,20120
"$800-$999 ($41,600-$51,999)",Supplementary Codes,25813
"$1,000-$1,249 ($52,000-$64,999)",Supplementary Codes,28315
"$1,250-$1,499 ($65,000-$77,999)",Supplementary Codes,19376
"$1,500-$1,749 ($78,000-$90,999)",Supplementary Codes,16344
"$1,750-$1,999 ($91,000-$103,999)",Supplementary Codes,11868
"$2,000-$2,999 ($104,000-$155,999)",Supplementary Codes,19550
"$3,000-$3,499 ($156,000-$181,999)",Supplementary Codes,5154
"$3,500 Or More ($182,000 Or More)",Supplementary Codes,9380
Not Stated,Supplementary Codes,6494
Negative Income,Not stated,4905
Nil Income,Not stated,17937
"$1-$149 ($1-$7,799)",Not stated,5895
"$150-$299 ($7,800-$15,599)",Not stated,14069
"$300-$399 ($15,600-$20,799)",Not stated,30376
"$400-$499 ($20,800-$25,999)",Not stated,27446
"$500-$649 ($26,000-$33,799)",Not stated,18288
"$650-$799 ($33,800-$41,599)",Not stated,16619
"$800-$999 ($41,600-$51,999)",Not stated,18442
"$1,000-$1,249 ($52,000-$64,999)",Not stated,18779
"$1,250-$1,499 ($65,000-$77,999)",Not stated,12239
"$1,500-$1,749 ($78,000-$90,999)",Not stated,10609
"$1,750-$1,999 ($91,000-$103,999)",Not stated,6987
"$2,000-$2,999 ($104,000-$155,999)",Not stated,10684
"$3,000-$3,499 ($156,000-$181,999)",Not stated,2781
"$3,500 Or More ($182,000 Or More)",Not stated,5907
Not Stated,Not stated,611006
Negative Income,Not applicable,0
Nil Income,Not applicable,0
"$1-$149 ($1-$7,799)",Not applicable,0
"$150-$299 ($7,800-$15,599)",Not applicable,0
"$300-$399 ($15,600-$20,799)",Not applicable,0
"$400-$499 ($20,800-$25,999)",Not applicable,0
"$500-$649 ($26,000-$33,799)",Not applicable,0
"$650-$799 ($33,800-$41,599)",Not applicable,0
"$800-$999 ($41,600-$51,999)",Not applicable,0
"$1,000-$1,249 ($52,000-$64,999)",Not applicable,0
"$1,250-$1,499 ($65,000-$77,999)",Not applicable,0
"$1,500-$1,749 ($78,000-$90,999)",Not applicable,0
"$1,750-$1,999 ($91,000-$103,999)",Not applicable,0
"$2,000-$2,999 ($104,000-$155,999)",Not applicable,0
"$3,000-$3,499 ($156,000-$181,999)",Not applicable,0
"$3,500 Or More ($182,000 Or More)",Not applicable,0
Not Stated,Not applicable,0
Negative Income,Total,68298
Nil Income,Total,689485
"$1-$149 ($1-$7,799)",Total,267465
"$150-$299 ($7,800-$15,599)",Total,416491
"$300-$399 ($15,600-$20,799)",Total,699302
"$400-$499 ($20,800-$25,999)",Total,605976
"$500-$649 ($26,000-$33,799)",Total,587669
"$650-$799 ($33,800-$41,599)",Total,592149
"$800-$999 ($41,600-$51,999)",Total,798018
"$1,000-$1,249 ($52,000-$64,999)",Total,978619
"$1,250-$1,499 ($65,000-$77,999)",Total,753136
"$1,500-$1,749 ($78,000-$90,999)",Total,677223
"$1,750-$1,999 ($91,000-$103,999)",Total,522629
"$2,000-$2,999 ($104,000-$155,999)",Total,994769
"$3,000-$3,499 ($156,000-$181,999)",Total,255125
"$3,500 Or More ($182,000 Or More)",Total,480789
Not Stated,Total,774155
