year,education,harmonised_income_bracket,count,share_pct
2021,Bachelor Degree Level,"$1,000-$1,249 ($52,000-$64,999)",146941,9.47
2021,Bachelor Degree Level,"$1,250-$1,499 ($65,000-$77,999)",137853,8.88
2021,Bachelor Degree Level,"$1,500-$1,749 ($78,000-$90,999)",140505,9.05
2021,Bachelor Degree Level,"$1,750-$1,999 ($91,000-$103,999)",124388,8.01
2021,Bachelor Degree Level,"$2,000-$2,999 ($104,000-$155,999)",289358,18.64
2021,Bachelor Degree Level,"$3,000 Or More ($156,000 Or More)",270219,17.41
2021,Graduate Diploma and Graduate Certificate Level,Negative Income,337,0.2
2021,Graduate Diploma and Graduate Certificate Level,Nil Income,3613,2.16
2021,Graduate Diploma and Graduate Certificate Level,"$1-$149 ($1-$7,799)",1792,1.07
2021,Graduate Diploma and Graduate Certificate Level,"$150-$299 ($7,800-$15,599)",2828,1.69
2021,Graduate Diploma and Graduate Certificate Level,"$300-$399 ($15,600-$20,799)",4917,2.94
2021,Graduate Diploma and Graduate Certificate Level,"$400-$499 ($20,800-$25,999)",4903,2.93
2021,Graduate Diploma and Graduate Certificate Level,"$500-$649 ($26,000-$33,799)",6496,3.88
2021,Graduate Diploma and Graduate Certificate Level,"$650-$799 ($33,800-$41,599)",6788,4.06
2021,Graduate Diploma and Graduate Certificate Level,"$800-$999 ($41,600-$51,999)",9061,5.41
2021,Graduate Diploma and Graduate Certificate Level,"$1,000-$1,249 ($52,000-$64,999)",12706,7.59
2021,Graduate Diploma and Graduate Certificate Level,"$1,250-$1,499 ($65,000-$77,999)",11899,7.11
2021,Graduate Diploma and Graduate Certificate Level,"$1,500-$1,749 ($78,000-$90,999)",14719,8.79
2021,Graduate Diploma and Graduate Certificate Level,"$1,750-$1,999 ($91,000-$103,999)",15534,9.28
2021,Graduate Diploma and Graduate Certificate Level,"$2,000-$2,999 ($104,000-$155,999)",39684,23.71
2021,Graduate Diploma and Graduate Certificate Level,"$3,000 Or More ($156,000 Or More)",32084,19.17
2021,Postgraduate Degree Level,Negative Income,1437,0.22
2021,Postgraduate Degree Level,Nil Income,17999,2.73
2021,Postgraduate Degree Level,"$1-$149 ($1-$7,799)",5617,0.85
2021,Postgraduate Degree Level,"$150-$299 ($7,800-$15,599)",8851,1.34
2021,Postgraduate Degree Level,"$300-$399 ($15,600-$20,799)",14125,2.14
2021,Postgraduate Degree Level,"$400-$499 ($20,800-$25,999)",15217,2.31
2021,Postgraduate Degree Level,"$500-$649 ($26,000-$33,799)",24695,3.75
2021,Postgraduate Degree Level,"$650-$799 ($33,800-$41,599)",26605,4.04
2021,Postgraduate Degree Level,"$800-$999 ($41,600-$51,999)",39359,5.97
2021,Postgraduate Degree Level,"$1,000-$1,249 ($52,000-$64,999)",55522,8.43
2021,Postgraduate Degree Level,"$1,250-$1,499 ($65,000-$77,999)",51436,7.81
2021,Postgraduate Degree Level,"$1,500-$1,749 ($78,000-$90,999)",54780,8.31
2021,Postgraduate Degree Level,"$1,750-$1,999 ($91,000-$103,999)",51248,7.78
2021,Postgraduate Degree Level,"$2,000-$2,999 ($104,000-$155,999)",137047,20.8
2021,Postgraduate Degree Level,"$3,000 Or More ($156,000 Or More)",154890,23.51
